time,open,close,low,high,volume,openInterest
09:45:24,,27555.73,27555.73,27560.441,,
09:45:28,,27553.42,27553.42,27555.73,,
09:45:34,,27550.961,27550.961,27551.91,,
09:45:38,,27547.57,27547.57,27550.961,,
09:45:44,,27549.59,27547.699,27549.59,,
09:45:48,,27546.631,27546.631,27549.59,,
09:45:52,,27548.27,27548.27,27548.27,,
09:45:58,,27553.881,27552.039,27553.881,,
09:46:04,,27545.449,27545.449,27549.539,,
09:46:08,,27549.158,27546.301,27549.158,,
09:46:12,,27551.092,27551.092,27551.092,,
09:46:18,,27557.35,27550.621,27557.35,,
09:46:22,,27556.811,27556.811,27557.35,,
09:46:28,,27561.021,27561.021,27562.34,,
09:46:32,,27557.66,27557.66,27561.021,,
09:46:36,,27562.641,27562.641,27562.641,,
09:46:42,,27563.789,27563.002,27563.789,,
09:46:46,,27564.73,27564.73,27565.6,,
09:46:52,,27565.811,27565.811,27566.451,,
09:46:56,,27568.922,27567.219,27568.922,,
09:47:02,,27571.059,27571.059,27574.5,,
09:47:06,,27573.859,27570.119,27573.859,,
09:47:10,,27567.021,27567.021,27573.859,,
09:47:16,,27572.08,27572.08,27572.08,,
09:47:20,,27572.16,27572.16,27572.16,,
09:47:26,,27577.158,27576.4,27577.158,,
09:47:30,,27575.869,27575.869,27577.52,,
09:47:36,,27578.061,27577.529,27578.061,,
09:47:40,,27576.08,27576.08,27578.061,,
09:47:46,,27575.68,27575.68,27578.889,,
09:47:50,,27576.41,27576.41,27576.881,,
09:47:54,,27569.102,27569.102,27576.41,,
09:47:58,,27563.309,27563.309,27564.02,,
09:48:04,,27568.881,27568.881,27568.881,,
09:48:10,,27579.549,27575.379,27579.549,,
09:48:14,,27575.092,27575.092,27579.549,,
09:48:20,,27578.189,27575.469,27578.189,,
09:48:24,,27579.229,27578.051,27579.229,,
09:48:28,,27580.43,27580.43,27580.43,,
09:48:32,,27582.451,27582.451,27582.451,,
09:48:38,,27585.709,27585.709,27585.709,,
09:48:42,,27584.791,27584.791,27586.041,,
09:48:48,,27588.34,27588.34,27590.531,,
09:48:52,,27590.041,27590.041,27590.041,,
09:48:58,,27592.791,27591.51,27592.791,,
09:49:02,,27591.529,27591.529,27593.619,,
09:49:08,,27594.961,27593.369,27594.961,,
09:49:12,,27590.941,27590.941,27594.961,,
09:49:18,,27593.172,27593.172,27593.172,,
09:49:22,,27597.75,27597.75,27597.75,,
09:49:26,,27596.33,27596.33,27596.33,,
09:49:30,,27597.99,27597.99,27597.99,,
09:49:36,,27590.771,27590.771,27593.34,,
09:49:42,,27591.021,27589.469,27591.021,,
09:49:46,,27588.07,27588.07,27591.021,,
09:49:52,,27591.99,27588.748,27591.99,,
09:49:56,,27590.07,27590.07,27591.99,,
09:50:02,,27587.238,27587.238,27593.479,,
09:50:06,,27583.369,27583.369,27587.238,,
09:50:10,,27578.791,27578.791,27583.369,,
09:50:14,,27581.65,27581.65,27581.65,,
09:50:20,,27569.629,27569.629,27580.588,,
09:50:24,,27570.521,27570.521,27570.521,,
09:50:30,,27567.021,27567.021,27570.941,,
09:50:36,,27568.32,27568.32,27569.299,,
09:50:40,,27566.35,27566.35,27568.32,,
09:50:44,,27566.16,27566.16,27566.73,,
09:50:48,,27561.242,27561.242,27566.15,,
09:50:54,,27558.26,27558.26,27559.439,,
09:51:00,,27561.318,27556.611,27561.318,,
09:51:04,,27555.52,27555.52,27561.318,,
09:51:08,,27552.211,27552.211,27552.988,,
09:51:14,,27553.699,27551.83,27553.699,,
09:51:18,,27554.17,27554.17,27554.17,,
09:51:24,,27554.371,27552.588,27554.371,,
09:51:28,,27547.398,27547.398,27554.371,,
09:51:34,,27545.379,27545.379,27548.25,,
09:51:38,,27550.08,27547.58,27550.08,,
09:51:44,,27550.881,27550.881,27552.701,,
09:51:48,,27548.16,27548.16,27550.881,,
09:51:52,,27548.791,27548.791,27548.791,,
09:51:58,,27551.289,27551.289,27552.551,,
09:52:02,,27551.709,27551.709,27551.709,,
09:52:08,,27558.15,27557.379,27558.15,,
09:52:12,,27556.189,27556.189,27558.15,,
09:52:16,,27554.852,27554.852,27556.26,,
09:52:22,,27558.5,27557.35,27558.5,,
09:52:26,,27555.75,27555.75,27558.5,,
09:52:30,,27550.17,27550.17,27553.629,,
09:52:36,,27551.482,27551.482,27551.482,,
09:52:42,,27557.959,27555.779,27557.959,,
09:52:46,,27559.238,27559.238,27559.238,,
09:52:50,,27566.279,27566.279,27566.279,,
09:52:56,,27564.631,27564.631,27566.279,,
09:53:00,,27563.961,27563.961,27565.68,,
09:53:04,,27563.059,27563.059,27564.15,,
09:53:10,,27566.361,27566.361,27566.361,,
09:53:16,,27566.25,27566.25,27566.818,,
