time,open,close,low,high,volume,openInterest
09:43:06,,27615.031,27612.291,27615.031,,
09:43:10,,27614.24,27614.24,27614.24,,
09:43:16,,27611.84,27611.84,27613.629,,
09:43:22,,27612.889,27611.59,27612.889,,
09:43:26,,27612.881,27612.881,27612.889,,
09:43:32,,27615.779,27613.82,27615.779,,
09:43:36,,27616.24,27616.24,27616.24,,
09:43:42,,27619.529,27619.529,27620.039,,
09:43:46,,27622.08,27622.08,27622.08,,
09:43:52,,27625.299,27622.941,27625.299,,
09:43:56,,27630.541,27626.27,27630.541,,
09:44:00,,27628.898,27628.898,27630.541,,
09:44:06,,27629.35,27629.35,27630.531,,
09:44:10,,27627.77,27627.77,27629.35,,
09:44:16,,27624.791,27624.791,27625.27,,
09:44:20,,27624.871,27624.871,27624.871,,
09:44:24,,27625.68,27625.68,27625.971,,
09:44:30,,27625.52,27625.52,27626.701,,
09:44:34,,27622.531,27622.531,27625.52,,
09:44:40,,27625.412,27625.412,27625.412,,
09:44:46,,27621.209,27621.209,27624.932,,
09:44:50,,27619.699,27619.699,27621.209,,
09:44:56,,27613.189,27613.189,27621.402,,
09:45:00,,27609.332,27609.332,27613.189,,
09:45:06,,27602.08,27602.08,27609.27,,
09:45:10,,27603.039,27598.871,27603.039,,
09:45:14,,27597.092,27597.092,27603.039,,
09:45:20,,27594.26,27591.021,27594.26,,
09:45:24,,27592.908,27592.908,27594.26,,
09:45:30,,27588.66,27588.66,27588.881,,
09:45:34,,27594.881,27594.881,27594.969,,
09:45:40,,27600.461,27598.301,27600.461,,
09:45:44,,27593.318,27593.318,27600.461,,
09:45:50,,27586.988,27586.988,27591.59,,
09:45:54,,27581.881,27581.881,27586.988,,
09:46:00,,27585.65,27585.65,27585.85,,
09:46:04,,27581.359,27581.359,27585.65,,
09:46:08,,27575.021,27575.021,27579.449,,
09:46:14,,27554.621,27554.621,27569.42,,
09:46:18,,27561.85,27561.85,27561.85,,
09:46:24,,27561.67,27558.758,27561.67,,
09:46:28,,27561.609,27561.609,27561.67,,
09:46:34,,27557.039,27557.039,27563.891,,
09:46:38,,27558.15,27558.15,27558.371,,
09:46:44,,27562.33,27560.221,27562.33,,
09:46:48,,27563.439,27563.439,27565.189,,
09:46:54,,27561.5,27561.5,27563.801,,
09:46:58,,27568.039,27568.039,27568.039,,
09:47:02,,27568.721,27568.721,27570.611,,
09:47:08,,27573.629,27573.629,27573.82,,
09:47:12,,27579.82,27579.82,27579.82,,
09:47:16,,27577.262,27577.262,27578.42,,
09:47:22,,27573.379,27573.379,27573.379,,
09:47:28,,27576.838,27574.5,27576.838,,
09:47:32,,27583.43,27583.43,27583.43,,
09:47:38,,27579.42,27579.42,27583.129,,
09:47:42,,27582.461,27582.461,27582.461,,
09:47:48,,27578.621,27578.621,27581.539,,
09:47:52,,27575.092,27575.092,27578.621,,
09:47:58,,27572.852,27572.852,27575.092,,
09:48:02,,27569.562,27569.562,27572.852,,
09:48:06,,27563.449,27563.449,27568.221,,
09:48:12,,27560.211,27560.211,27560.27,,
09:48:16,,27558.15,27558.15,27562.871,,
09:48:22,,27562,27562,27562,,
09:48:26,,27562.029,27562.029,27562.029,,
09:48:32,,27564.029,27564.029,27564.029,,
09:48:36,,27564.518,27564.518,27566.311,,
09:48:42,,27572.211,27568.08,27572.211,,
09:48:46,,27573.049,27573.049,27574.291,,
09:48:52,,27572.461,27572.461,27574.33,,
09:48:56,,27571.162,27571.162,27573.252,,
09:49:00,,27568.57,27568.57,27568.818,,
