time,open,close,low,high,volume,openInterest
09:39:08,,27682.918,27678.828,27682.918,,
09:39:12,,27683.182,27683.182,27683.182,,
09:39:18,,27671.42,27671.42,27682.791,,
09:39:22,,27672.039,27672.039,27673.34,,
09:39:28,,27662.18,27662.18,27667.369,,
09:39:32,,27662.701,27662.701,27662.701,,
09:39:38,,27660.33,27659.021,27660.33,,
09:39:42,,27650.561,27650.561,27660.33,,
09:39:48,,27637.219,27633.318,27637.219,,
09:39:52,,27642.541,27642.541,27642.541,,
09:39:56,,27651.689,27651.689,27651.689,,
09:40:02,,27644.189,27644.189,27653.092,,
09:40:08,,27654.279,27654.279,27654.979,,
09:40:12,,27655.99,27655.99,27657.91,,
09:40:18,,27653.148,27653.148,27654.23,,
09:40:22,,27652.48,27652.48,27653.148,,
09:40:28,,27650.66,27650.66,27653.049,,
09:40:32,,27646.119,27646.119,27650.66,,
09:40:38,,27646.898,27646.898,27650.818,,
09:40:42,,27650.4,27650.4,27651.369,,
09:40:48,,27650.24,27650.24,27654.621,,
09:40:52,,27647.439,27647.439,27651.719,,
09:40:58,,27641.959,27641.959,27647.439,,
09:41:02,,27644.611,27644.611,27644.611,,
09:41:08,,27643.398,27641.789,27643.398,,
09:41:12,,27654.109,27654.109,27654.109,,
09:41:18,,27658.35,27653.82,27658.35,,
09:41:22,,27655.182,27655.182,27658.35,,
09:41:28,,27650.33,27650.33,27656.18,,
09:41:32,,27648.441,27648.441,27652.998,,
09:41:38,,27646.051,27646.051,27651.449,,
09:41:42,,27650.668,27650.668,27652.551,,
09:41:48,,27644.51,27644.51,27646.932,,
09:41:52,,27647.219,27647.219,27647.219,,
09:41:58,,27648.531,27645.369,27648.531,,
09:42:04,,27654.18,27654.18,27655.039,,
09:42:08,,27653.449,27653.449,27655.021,,
09:42:12,,27652.5,27652.5,27653.449,,
09:42:18,,27648.291,27648.291,27650.898,,
09:42:22,,27649.609,27649.609,27649.609,,
09:42:28,,27646.721,27646.721,27649.092,,
09:42:32,,27647.031,27647.031,27649.789,,
09:42:38,,27651.559,27651.559,27654.588,,
09:42:44,,27656.518,27656.518,27658.07,,
09:42:48,,27652.4,27652.4,27656.518,,
09:42:54,,27649.529,27649.529,27654.438,,
09:42:58,,27658.668,27658.668,27658.668,,
09:43:04,,27658.32,27658.32,27661.359,,
09:43:08,,27664.48,27664.281,27664.48,,
09:43:14,,27665.332,27660.441,27665.332,,
09:43:18,,27666.24,27666.24,27666.24,,
09:43:22,,27665.229,27665.229,27665.229,,
09:43:28,,27665.189,27665.189,27667.172,,
09:43:34,,27663.021,27663.021,27665.629,,
09:43:38,,27664.061,27664.061,27664.061,,
09:43:42,,27660.668,27660.668,27662.01,,
09:43:48,,27659.412,27659.412,27660.668,,
09:43:54,,27663.359,27659.76,27663.359,,
09:43:58,,27662.932,27662.932,27664,,
09:44:04,,27650.521,27650.521,27659.869,,
09:44:08,,27651.379,27651.379,27651.379,,
09:44:14,,27646.818,27646.818,27650.531,,
09:44:18,,27649.562,27649.562,27649.562,,
09:44:24,,27646.57,27646.57,27647.789,,
09:44:28,,27648.738,27648.738,27648.781,,
09:44:34,,27644.838,27644.838,27647.801,,
09:44:38,,27646.51,27646.51,27646.51,,
09:44:44,,27640.221,27640.221,27646.17,,
09:44:48,,27640.998,27640.998,27640.998,,
09:44:54,,27639.129,27639.129,27641.92,,
09:44:58,,27638.051,27638.051,27639.129,,
09:45:04,,27636.49,27636.49,27636.871,,
09:45:08,,27633.58,27633.58,27636.49,,
09:45:14,,27635.709,27635.709,27635.709,,
09:45:18,,27637.092,27637.092,27641.43,,
09:45:24,,27640.029,27640.029,27640.221,,
09:45:28,,27638.771,27638.771,27640.029,,
09:45:34,,27638.811,27638.18,27638.811,,
09:45:38,,27635.059,27635.059,27638.811,,
09:45:44,,27635.73,27635.73,27636.908,,
09:45:48,,27628.48,27628.48,27635.73,,
09:45:54,,27631.789,27631.789,27632.27,,
09:45:58,,27638.908,27638.908,27638.908,,
09:46:04,,27643.779,27642.691,27643.779,,
09:46:08,,27645.689,27645.689,27646.898,,
09:46:14,,27641.639,27641.639,27644.738,,
09:46:18,,27648.211,27648.211,27648.211,,
09:46:24,,27647.238,27647.238,27648.641,,
09:46:28,,27652.07,27652.07,27652.07,,
09:46:34,,27651.439,27651.439,27652.281,,
09:46:40,,27650.41,27650.41,27652.08,,
09:46:44,,27647.939,27647.939,27650.781,,
09:46:50,,27643.398,27643.398,27645.27,,
09:46:54,,27642.17,27642.17,27643.398,,
09:46:58,,27644.781,27644.781,27644.889,,
09:47:04,,27650.34,27650.34,27650.34,,
09:47:08,,27652.73,27652.73,27652.73,,
09:47:14,,27656.039,27656.039,27656.4,,
09:47:20,,27652.701,27652.701,27652.951,,
09:47:24,,27649.289,27649.289,27652.701,,
09:47:30,,27649.031,27649.031,27649.479,,
09:47:34,,27649.789,27647.43,27649.789,,
09:47:38,,27651.529,27651.529,27652.039,,
09:47:44,,27654.33,27654.33,27655.869,,
09:47:50,,27657.84,27656.029,27657.84,,
09:47:54,,27650.621,27650.621,27657.84,,
09:48:00,,27655.021,27654.871,27655.021,,
09:48:04,,27657.799,27657.799,27659.172,,
09:48:10,,27645.479,27645.479,27650.721,,
09:48:14,,27637.082,27637.082,27645.479,,
09:48:20,,27636.471,27636.471,27637.949,,
09:48:24,,27638.061,27637.609,27638.061,,
09:48:30,,27634.451,27634.451,27639.34,,
09:48:34,,27633.182,27633.182,27634.451,,
09:48:38,,27628.889,27628.889,27633.068,,
09:48:44,,27631.199,27631.199,27632.871,,
09:48:50,,27630.43,27630.201,27630.43,,
09:48:54,,27627.078,27627.078,27630.43,,
09:49:00,,27630.32,27630.32,27630.598,,
09:49:04,,27630.09,27630.09,27630.32,,
09:49:08,,27630.24,27630.24,27630.24,,
09:49:14,,27627.35,27627.35,27631.77,,
09:49:20,,27623.549,27623.549,27627.35,,
09:49:24,,27629.881,27629.881,27629.881,,
09:49:30,,27628.359,27628.359,27630.49,,
09:49:34,,27625.891,27625.891,27628.359,,
09:49:38,,27624.998,27624.998,27625.35,,
09:49:46,,27614.381,27614.381,27624.668,,
09:49:50,,27613.891,27613.891,27614.641,,
09:49:54,,27621.229,27617.6,27621.229,,
09:50:00,,27617.949,27617.949,27620.43,,
09:50:06,,27609.92,27609.92,27617.949,,
09:50:10,,27618.551,27614.311,27618.551,,
09:50:14,,27620.57,27620.57,27620.57,,
09:50:20,,27615.74,27615.74,27620.838,,
09:50:26,,27618.721,27618.721,27620.35,,
09:50:30,,27617.75,27617.75,27618.721,,
09:50:34,,27624.51,27624.51,27624.51,,
09:50:40,,27626.631,27623.238,27626.631,,
09:50:44,,27623.332,27623.332,27626.631,,
09:50:50,,27624.131,27622.861,27624.131,,
09:50:56,,27623.91,27623.91,27627.51,,
09:51:00,,27627.65,27627.65,27627.65,,
09:51:06,,27630.34,27630.34,27631.5,,
09:51:10,,27632.061,27632.061,27635.172,,
09:51:14,,27628.441,27628.441,27632.281,,
09:51:20,,27630.521,27630.521,27632.611,,
09:51:26,,27631.879,27631.879,27632.26,,
09:51:30,,27632.898,27632.898,27632.898,,
09:51:34,,27633.049,27633.049,27633.049,,
09:51:40,,27631.73,27631.73,27632.791,,
